
Hash                                                             Path                                                  
----                                                             ----                                                  
16842CD3A27348838686161CACA767F09782785C570AF0C2B58D385F2B5470EE C:\Users\xbors\OneDrive\Desktop\Bursali_Oto_Dijital...
E3470F205FE4B7F0679119AFDF7FED7AA3C8B6A4FD36429F3C2EACCD9DB60BBD C:\Users\xbors\OneDrive\Desktop\Bursali_Oto_Dijital...
25AC0BD645B925455D74CADDD1541CF9BD30875A168AE39F0E9D0DC3B2750EBC C:\Users\xbors\OneDrive\Desktop\Bursali_Oto_Dijital...
5EA2A114486D962E235AEDBDF598ED32EFFC349588A113803A851E8F3A32AEF4 C:\Users\xbors\OneDrive\Desktop\Bursali_Oto_Dijital...
FACC0D363223E6FCED50AA65ED8F87773DD89D6F57DE0F79A1CBCDC8B53E86F9 C:\Users\xbors\OneDrive\Desktop\Bursali_Oto_Dijital...
72910E3EDEF26F5E455380CED6B60688E486C38618F3A8A54E5365A22594FDAE C:\Users\xbors\OneDrive\Desktop\Bursali_Oto_Dijital...
4024C9E026DE1A2CF2871A0196746AFBDD92C5041F876E07B4A5751EDD611E73 C:\Users\xbors\OneDrive\Desktop\Bursali_Oto_Dijital...
E375C143931EC8D51946FBC67292422085555DDC00C42A2497F62E78AF615C98 C:\Users\xbors\OneDrive\Desktop\Bursali_Oto_Dijital...
A0D6684675BBC527078ED791A3D9EB77854126FD78423A0BB39A5CD5EC865162 C:\Users\xbors\OneDrive\Desktop\Bursali_Oto_Dijital...
14CE5DA807924116927BBB2CCBC0C0AE8E67F901AA2D46D9C27796D02D30A436 C:\Users\xbors\OneDrive\Desktop\Bursali_Oto_Dijital...
434C135CA1112D1D9BE566877BD61B9154FE2721251F98C37C15D1BD5F119497 C:\Users\xbors\OneDrive\Desktop\Bursali_Oto_Dijital...
2C866A8048E83E22794997B7DD13D6E30C167B6C6DD259A41A1ED30AA60E6496 C:\Users\xbors\OneDrive\Desktop\Bursali_Oto_Dijital...
7A03836669E84E69741ACFB18D46680A08661F0546C9E3D63E9195AAE052FF58 C:\Users\xbors\OneDrive\Desktop\Bursali_Oto_Dijital...


